Address,City,Availability,Price,Beds,Baths,PropertyType,URL
"1-22 Cumberland Dr, Brampton, Ontario L6V 1W6",Brampton,For Lease,2495,3,1,,https://www.qterrapropertymanagement.com/properties/1-22-cumberland-dr%2C-brampton%2C-ontario-l6v-1w6
"3-255 Country Glen Rd, Markham, Ontario L6B 1C3",Markham,For Lease,1395,0,1,Apartment,https://www.qterrapropertymanagement.com/properties/3-255-country-glen-rd%2C-markham%2C-ontario-l6b-1c3
"520-7437 Kingston Rd, Scarborough, Ontario M1B 0E9",Scarborough,For Lease,1875,1,1,Condo,https://www.qterrapropertymanagement.com/properties/520-7437-kingston-rd%2C-scarborough%2C-ontario-m1b-0e9
"1-58 Rollingwood Dr, Brampton, Ontario L6Y 5R1",Brampton,For Lease,2695,4,1,,https://www.qterrapropertymanagement.com/properties/1-58-rollingwood-dr%2C-brampton%2C-ontario-l6y-5r1
"1-83 Hammond Rd, Mississauga, Ontario L5M 2A3",Mississauga,For Lease,2795,3,2,,https://www.qterrapropertymanagement.com/properties/1-83-hammond-rd%2C-mississauga%2C-ontario-l5m-2a3
"216-1459 Trafalgar St, London, Ontario N5W 1W8",London,For Lease,1575,2,1,,https://www.qterrapropertymanagement.com/properties/216-1459-trafalgar-st%2C-london%2C-ontario-n5w-1w8
"2005-50 Grand Ave S, Cambridge, Ontario N1S 0C2",Cambridge,For Lease,2499,2,1.5,Condo,https://www.qterrapropertymanagement.com/properties/2005-50-grand-ave-s%2C-cambridge%2C-ontario-n1s-0c2
"2-2409 Bankside Dr, Mississauga, Ontario L5M 6E6",Mississauga,For Lease,1450,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-2409-bankside-dr%2C-mississauga%2C-ontario-l5m-6e6
"406-10 Morrison St, Toronto, Ontario M5V 2T8",Toronto,For Lease,2750,1.5,1,Condo,https://www.qterrapropertymanagement.com/properties/406-10-morrison-st%2C-toronto%2C-ontario-m5v-2t8
"612-1440 Clarriage Ct, Milton, Ontario L9T 2X5",Milton,For Lease,2395,2,1,Condo,https://www.qterrapropertymanagement.com/properties/612-1440-clarriage-ct%2C-milton%2C-ontario-l9t-2x5
"98 Canter Blvd, Nepean, Ontario K2G 2M7",Nepean,For Lease,2450,3,2.5,Semi-Detached,https://www.qterrapropertymanagement.com/properties/98-canter-blvd%2C-nepean%2C-ontario-k2g-2m7
"1-60 Normandy Crescent, Richmond Hill, Ontario L4C 8L7",Richmond Hill,For Lease,2995,4,1.5,,https://www.qterrapropertymanagement.com/properties/1-60-normandy-crescent%2C-richmond-hill%2C-ontario-l4c-8l7
"111-1103 Jalna Blvd, London, Ontario N6E 2W8",London,For Lease,1699,1,1,Condo,https://www.qterrapropertymanagement.com/properties/111-1103-jalna-blvd%2C-london%2C-ontario-n6e-2w8
"1-71 Chamomile Dr, Hamilton, Ontario L8W 0C1",Hamilton,For Lease,2795,3,2,,https://www.qterrapropertymanagement.com/properties/1-71-chamomile-dr%2C-hamilton%2C-ontario-l8w-0c1
"267-60 Parrotta Dr, Toronto, Ontario M9M 0E5",Toronto,For Lease,2499,2,1,Townhouse,https://www.qterrapropertymanagement.com/properties/267-60-parrotta-dr%2C-toronto%2C-ontario-m9m-0e5
"4-823 Stirling Ave S, Kitchener, Ontario N2M 3K4",Kitchener,For Lease,1999,2,1,Stacked Townhouse,https://www.qterrapropertymanagement.com/properties/4-823-stirling-ave-s%2C-kitchener%2C-ontario-n2m-3k4
"101-350 Malaga Rd, Oshawa, Ontario L1J 1N7",Oshawa,For Lease,1950,2,2,Apartment,https://www.qterrapropertymanagement.com/properties/101-350-malaga-rd%2C-oshawa%2C-ontario-l1j-1n7
"2-37 Ash Crescent, Etobicoke, Ontario M8W 1E4",Etobicoke,For Lease,1599,1,2.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-37-ash-crescent%2C-etobicoke%2C-ontario-m8w-1e4
"2405-284 King St E, Toronto, Ontario M5A 1K4",Toronto,For Lease,2750,2,2.5,Condo,https://www.qterrapropertymanagement.com/properties/2405-284-king-st-e%2C-toronto%2C-ontario-m5a-1k4
"6-164 Main St, Ottawa, Ontario K1S 1C2",Ottawa,For Lease,1895,2,1,Apartment,https://www.qterrapropertymanagement.com/properties/6-164-main-st%2C-ottawa%2C-ontario-k1s-1c2
"3-1052 Barton St E, Hamilton, Ontario L8L 3E5",Hamilton,For Lease,1695,2,2.5,Apartment,https://www.qterrapropertymanagement.com/properties/3-1052-barton-st-e%2C-hamilton%2C-ontario-l8l-3e5
"2-1 Radley St, Woodbridge, Ontario L4L 8J7",Woodbridge,For Lease,1899,1,1.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-1-radley-st%2C-woodbridge%2C-ontario-l4l-8j7
"1-177 Colborne St, London, Ontario N6B 2S3",London,For Lease,1899,3,1,,https://www.qterrapropertymanagement.com/properties/1-177-colborne-st%2C-london%2C-ontario-n6b-2s3
"726-86 Dundas St E, Mississauga, Ontario L5A 0B1",Mississauga,For Lease,2195,1.5,2,Condo,https://www.qterrapropertymanagement.com/properties/726-86-dundas-st-e%2C-mississauga%2C-ontario-l5a-0b1
"2-22 Vandervoort Dr, Richmond Hill, Ontario L4E 0C6",Richmond Hill,For Lease,1695,2,1.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-22-vandervoort-dr%2C-richmond-hill%2C-ontario-l4e-0c6
"1-210 Armstrong St, Ottawa, Ontario K1Y 2W4",Ottawa,For Lease,1950,2,1,,https://www.qterrapropertymanagement.com/properties/1-210-armstrong-st%2C-ottawa%2C-ontario-k1y-2w4
"413-58 Sky Harbour Dr, Brampton, Ontario L6Y 6J1",Brampton,For Lease,2295,2,3.5,Condo,https://www.qterrapropertymanagement.com/properties/413-58-sky-harbour-dr%2C-brampton%2C-ontario-l6y-6j1
"4-208 Clarence St., Ottawa, Ontario K1N 5R1",Ottawa,For Lease,1950,1,1,Apartment,https://www.qterrapropertymanagement.com/properties/4-208-clarence-st.%2C-ottawa%2C-ontario-k1n-5r1
"2711-3525 Kariya Dr, Mississauga, Ontario L5B 0C2",Mississauga,For Lease,2399,2,3.5,Condo,https://www.qterrapropertymanagement.com/properties/2711-3525-kariya-dr%2C-mississauga%2C-ontario-l5b-0c2
"2-12 Prairie Grass Cres, East Gwillimbury, Ontario L9N 0S8",East Gwillimbury,For Lease,1995,2,2,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-12-prairie-grass-cres%2C-east-gwillimbury%2C-ontario-l9n-0s8
"62 Bassett Cres, Brampton, Ontario L6X 0E4",Brampton,For Lease,3395,5.5,1,,https://www.qterrapropertymanagement.com/properties/62-bassett-cres%2C-brampton%2C-ontario-l6x-0e4
"1168 Prestonwood Crescent, Mississauga, Ontario L5V 2V3",Mississauga,For Lease,3699,4.5,1,Semi-Detached,https://www.qterrapropertymanagement.com/properties/1168-prestonwood-crescent%2C-mississauga%2C-ontario-l5v-2v3
"3009-50 Absolute Ave, Mississauga, Ontario L4Z 0A9",Mississauga,For Lease,1999,1,2,Condo,https://www.qterrapropertymanagement.com/properties/3009-50-absolute-ave%2C-mississauga%2C-ontario-l4z-0a9
"2-52 Pennsylvania Ave, Brampton, Ontario L6Y 4P2",Brampton,For Lease,1495,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-52-pennsylvania-ave%2C-brampton%2C-ontario-l6y-4p2
"8-6 Kings Point Dr, Etobicoke, Ontario M8Y 1Z4",Etobicoke,For Lease,2099,2,1,Apartment,https://www.qterrapropertymanagement.com/properties/8-6-kings-point-dr%2C-etobicoke%2C-ontario-m8y-1z4
"2-68 Mossgrove Crescent, Brampton, Ontario L7A 3W4",Brampton,For Lease,1895,3,5.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-68-mossgrove-crescent%2C-brampton%2C-ontario-l7a-3w4
"2-76 William Honey Crescent, Markham, Ontario L3S 2M1",Markham,For Lease,1595,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-76-william-honey-crescent%2C-markham%2C-ontario-l3s-2m1
"14-1007 Adelaide St N, London, Ontario N5Y 2M8",London,For Lease,1475,2,1,,https://www.qterrapropertymanagement.com/properties/14-1007-adelaide-st-n%2C-london%2C-ontario-n5y-2m8
"1203-1 Jarvis St, Hamilton, Ontario L8R 3J2",Hamilton,For Lease,1595,1,1,Condo,https://www.qterrapropertymanagement.com/properties/1203-1-jarvis-st%2C-hamilton%2C-ontario-l8r-3j2
"111-1100 Sheppard Ave W, North York, Ontario M3K 0E4",North York,For Lease,2599,2,2.5,Condo,https://www.qterrapropertymanagement.com/properties/111-1100-sheppard-ave-w%2C-north-york%2C-ontario-m3k-0e4
"5-50 Nelson St W, Brampton, Ontario L6X 1C3",Brampton,For Lease,1295,0,1,,https://www.qterrapropertymanagement.com/properties/5-50-nelson-st-w%2C-brampton%2C-ontario-l6x-1c3
"104-8 York St W, Ridgetown, Ontario N0P 2C0",Ridgetown,For Lease,1699,2,1,,https://www.qterrapropertymanagement.com/properties/104-8-york-st-w%2C-ridgetown%2C-ontario-n0p-2c0
"201-7277 Wilson Crescent, Niagara Falls, Ontario L2G 4R8",Niagara Falls,For Lease,1895,2,1,Condo,https://www.qterrapropertymanagement.com/properties/201-7277-wilson-crescent%2C-niagara-falls%2C-ontario-l2g-4r8
"212-244 King St, Welland, Ontario L3B 3J8",Welland,For Lease,1299,1,1,,https://www.qterrapropertymanagement.com/properties/212-244-king-st%2C-welland%2C-ontario-l3b-3j8
"7-44 Division St, Welland, Ontario L3B 3Z6",Welland,For Lease,1099,0,2.5,,https://www.qterrapropertymanagement.com/properties/7-44-division-st%2C-welland%2C-ontario-l3b-3z6
"3036 Abernathy Way, Oakville, Ontario L6M 5C1",Oakville,For Lease,3845,5,1,Detached House,https://www.qterrapropertymanagement.com/properties/3036-abernathy-way%2C-oakville%2C-ontario-l6m-5c1
"108-244 King St, Welland, Ontario L3B 3J8",Welland,For Lease,1299,1,1,,https://www.qterrapropertymanagement.com/properties/108-244-king-st%2C-welland%2C-ontario-l3b-3j8
"2-1153 Stag Holw, Oakville, Ontario L6M 5M4",Oakville,For Lease,2195,2,4.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-1153-stag-holw%2C-oakville%2C-ontario-l6m-5m4
"2-93 Stannardville Dr, Ajax, Ontario L1T 4P8",Ajax,For Lease,1545,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-93-stannardville-dr%2C-ajax%2C-ontario-l1t-4p8
"5-284 St. Patrick St, Ottawa, Ontario K1N 5K5",Ottawa,For Lease,1699,1,1,Apartment,https://www.qterrapropertymanagement.com/properties/5-284-st.-patrick-st%2C-ottawa%2C-ontario-k1n-5k5
"1-13 Tanglemere Crescent, Brampton, Ontario L7A 1R7",Brampton,For Lease,2495,3,1.5,,https://www.qterrapropertymanagement.com/properties/1-13-tanglemere-crescent%2C-brampton%2C-ontario-l7a-1r7
"2712-15 Wellington Street South, Kitchener, Ontario N2G 0E4",Kitchener,For Lease,1850,1,1,Condo,https://www.qterrapropertymanagement.com/properties/2712-15-wellington-street-south%2C-kitchener%2C-ontario-n2g-0e4
"1-132 Manse Rd, Scarborough, Ontario M1E 3V1",Scarborough,For Lease,2295,2,1,,https://www.qterrapropertymanagement.com/properties/1-132-manse-rd%2C-scarborough%2C-ontario-m1e-3v1
"3-270 Carlton St, St. Catharines, Ontario L2N 1B8",St. Catharines,For Lease,1395,1,1,,https://www.qterrapropertymanagement.com/properties/3-270-carlton-st%2C-st.-catharines%2C-ontario-l2n-1b8
"1-27 Hearne Crescent, Ajax, Ontario L1T 3P5",Ajax,For Lease,2795,4,1.5,,https://www.qterrapropertymanagement.com/properties/1-27-hearne-crescent%2C-ajax%2C-ontario-l1t-3p5
"1-372 Kingsdale Ave, Oshawa, Ontario L1G 5H5",Oshawa,For Lease,1795,2,1,,https://www.qterrapropertymanagement.com/properties/1-372-kingsdale-ave%2C-oshawa%2C-ontario-l1g-5h5
"104-1459 Trafalgar St, London, Ontario N5W 1W8",London,For Lease,1495,1,1.5,,https://www.qterrapropertymanagement.com/properties/104-1459-trafalgar-st%2C-london%2C-ontario-n5w-1w8
"2-1919 Evans Blvd, London, Ontario N6M 0K2",London,For Lease,1650,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-1919-evans-blvd%2C-london%2C-ontario-n6m-0k2
"2-10 Deverill Crescent, Ajax, Ontario L1T 1S4",Ajax,For Lease,1595,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-10-deverill-crescent%2C-ajax%2C-ontario-l1t-1s4
"7-1370 Killarney Beach Rd, Innisfil, Ontario L0L 1W0",Innisfil,For Lease,1795,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/7-1370-killarney-beach-rd%2C-innisfil%2C-ontario-l0l-1w0
"2-2443 PagÃ© Rd, Orleans, Ontario K1W 1H2",Orleans,For Lease,2450,3,2.5,,https://www.qterrapropertymanagement.com/properties/2-2443-pagã©-rd%2C-orleans%2C-ontario-k1w-1h2
"247-1075 Douglas McCurdy Cmn, Mississauga, Ontario L5G 0C6",Mississauga,For Lease,2799,2,1,Townhouse,https://www.qterrapropertymanagement.com/properties/247-1075-douglas-mccurdy-cmn%2C-mississauga%2C-ontario-l5g-0c6
"2-142 Brock St, Brockville, Ontario K6V 4G4",Brockville,For Lease,1799,3,1,,https://www.qterrapropertymanagement.com/properties/2-142-brock-st%2C-brockville%2C-ontario-k6v-4g4
"2-423 Mississauga Vly Blvd, Mississauga, Ontario L5A 1Y9",Mississauga,For Lease,1395,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-423-mississauga-vly-blvd%2C-mississauga%2C-ontario-l5a-1y9
"2-171 Sloane Ave, North York, Ontario M4A 2C2",North York,For Lease,1850,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-171-sloane-ave%2C-north-york%2C-ontario-m4a-2c2
"3-1525 Barton St E, Hamilton, Ontario L8H 2X5",Hamilton,For Lease,1295,1.5,1,,https://www.qterrapropertymanagement.com/properties/3-1525-barton-st-e%2C-hamilton%2C-ontario-l8h-2x5
"3-823 Stirling Ave S, Kitchener, Ontario N2M 3K4",Kitchener,For Lease,2299,3,2.5,Stacked Townhouse,https://www.qterrapropertymanagement.com/properties/3-823-stirling-ave-s%2C-kitchener%2C-ontario-n2m-3k4
"1305-1171 Ambleside Dr, Ottawa, Ontario K2B 8E2",Ottawa,For Lease,2295,2,1,Condo,https://www.qterrapropertymanagement.com/properties/1305-1171-ambleside-dr%2C-ottawa%2C-ontario-k2b-8e2
"2-1799 Appleview Rd, Pickering, Ontario L1V 1T7",Pickering,For Lease,1750,1.5,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-1799-appleview-rd%2C-pickering%2C-ontario-l1v-1t7
"1-86 Gilchrist Ave, Ottawa, Ontario K1Y 0M8",Ottawa,For Lease,2550,2,1,,https://www.qterrapropertymanagement.com/properties/1-86-gilchrist-ave%2C-ottawa%2C-ontario-k1y-0m8
"1-1052 Barton St E, Hamilton, Ontario L8L 3E5",Hamilton,For Lease,1749,2,1,Apartment,https://www.qterrapropertymanagement.com/properties/1-1052-barton-st-e%2C-hamilton%2C-ontario-l8l-3e5
"24 Constellation Crescent, Richmond Hill, Ontario L4C 8J6",Richmond Hill,For Lease,3150,3,1.5,Detached House,https://www.qterrapropertymanagement.com/properties/24-constellation-crescent%2C-richmond-hill%2C-ontario-l4c-8j6
"105-8 York St W, Ridgetown, Ontario N0P 2C0",Ridgetown,For Lease,1675,2,1,,https://www.qterrapropertymanagement.com/properties/105-8-york-st-w%2C-ridgetown%2C-ontario-n0p-2c0
"261 Dixon St, Kitchener, Ontario N2G 3G1",Kitchener,For Lease,1850,2,1,,https://www.qterrapropertymanagement.com/properties/261-dixon-st%2C-kitchener%2C-ontario-n2g-3g1
"709-145 Hillcrest Ave, Mississauga, Ontario L5B 3Z1",Mississauga,For Lease,2395,2.5,1,Condo,https://www.qterrapropertymanagement.com/properties/709-145-hillcrest-ave%2C-mississauga%2C-ontario-l5b-3z1
"4-210 Armstrong St, Ottawa, Ontario K1Y 2W4",Ottawa,For Lease,1795,1,1,,https://www.qterrapropertymanagement.com/properties/4-210-armstrong-st%2C-ottawa%2C-ontario-k1y-2w4
"115-1180 Mississauga Vly Blvd, Mississauga, Ontario L5A 3M9",Mississauga,For Lease,3099,3,1,Townhouse,https://www.qterrapropertymanagement.com/properties/115-1180-mississauga-vly-blvd%2C-mississauga%2C-ontario-l5a-3m9
"528-1 Jarvis St, Hamilton, Ontario L8R 0A8",Hamilton,For Lease,1695,1.5,1,Condo,https://www.qterrapropertymanagement.com/properties/528-1-jarvis-st%2C-hamilton%2C-ontario-l8r-0a8
"2-208 Clarence St., Ottawa, Ontario K1N 5R1",Ottawa,For Lease,1850,1,1,Apartment,https://www.qterrapropertymanagement.com/properties/2-208-clarence-st.%2C-ottawa%2C-ontario-k1n-5r1
"1-56 Garthdale Ct, Toronto, Ontario M3H 5P9",Toronto,For Lease,1895,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/1-56-garthdale-ct%2C-toronto%2C-ontario-m3h-5p9
"2-4 Fordham Rd, Brampton, Ontario L6Y 0E4",Brampton,For Lease,1595,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-4-fordham-rd%2C-brampton%2C-ontario-l6y-0e4
"1012-60 Frederick St, Kitchener, Ontario N2H 0C7",Kitchener,For Lease,1695,1.5,1,Condo,https://www.qterrapropertymanagement.com/properties/1012-60-frederick-st%2C-kitchener%2C-ontario-n2h-0c7
"52 Commuter Dr, Brampton, Ontario L7A 0S5",Brampton,For Lease,2699,3,1,Townhouse,https://www.qterrapropertymanagement.com/properties/52-commuter-dr%2C-brampton%2C-ontario-l7a-0s5
"1-52 Pennsylvania Ave, Brampton, Ontario L6Y 4P2",Brampton,For Lease,2795,3,1,,https://www.qterrapropertymanagement.com/properties/1-52-pennsylvania-ave%2C-brampton%2C-ontario-l6y-4p2
"116-3650 Kingston Rd, Scarborough, Ontario M1M 3X9",Scarborough,For Lease,1975,1,2,Condo,https://www.qterrapropertymanagement.com/properties/116-3650-kingston-rd%2C-scarborough%2C-ontario-m1m-3x9
"2205-284 King St E, Toronto, Ontario M5A 1K4",Toronto,For Lease,2695,2,2.5,Condo,https://www.qterrapropertymanagement.com/properties/2205-284-king-st-e%2C-toronto%2C-ontario-m5a-1k4
"1-66 Wantanopa Crescent, Scarborough, Ontario M1H 2B4",Scarborough,For Lease,2375,3,1,,https://www.qterrapropertymanagement.com/properties/1-66-wantanopa-crescent%2C-scarborough%2C-ontario-m1h-2b4
"207-123 Maurice Dr, Oakville, Ontario L6K 2W6",Oakville,For Lease,2699,1.5,1,Condo,https://www.qterrapropertymanagement.com/properties/207-123-maurice-dr%2C-oakville%2C-ontario-l6k-2w6
"2-43 Bernick Dr, Barrie, Ontario L4M 5C1",Barrie,For Lease,1475,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-43-bernick-dr%2C-barrie%2C-ontario-l4m-5c1
"4-200 Chaffey St, Welland, Ontario L3B 2Y5",Welland,For Lease,1495,2,1,,https://www.qterrapropertymanagement.com/properties/4-200-chaffey-st%2C-welland%2C-ontario-l3b-2y5
"2-67 Apollo Rd, Markham, Ontario L3S 4H1",Markham,For Lease,1595,2,2,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-67-apollo-rd%2C-markham%2C-ontario-l3s-4h1
"2-724 Adelaide St N, London, Ontario N5Y 2L5",London,For Lease,1299,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-724-adelaide-st-n%2C-london%2C-ontario-n5y-2l5
"207113 Hwy-9, Mono, Ontario L9W 1Y4",Mono,For Lease,2599,3,1.5,,https://www.qterrapropertymanagement.com/properties/207113-hwy-9%2C-mono%2C-ontario-l9w-1y4
"2-2 Quinlan Rd, Barrie, Ontario L4M 7A9",Barrie,For Lease,1850,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-2-quinlan-rd%2C-barrie%2C-ontario-l4m-7a9
"2-3322 Greenbelt Cres, Mississauga, Ontario L5N 5X1",Mississauga,For Lease,1745,2.5,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-3322-greenbelt-cres%2C-mississauga%2C-ontario-l5n-5x1
"4236 Terrace Ave, Niagara Falls, Ontario L2E 3J6",Niagara Falls,For Lease,2295,3,1,Detached House,https://www.qterrapropertymanagement.com/properties/4236-terrace-ave%2C-niagara-falls%2C-ontario-l2e-3j6
"22 Westway Rd, Brampton, Ontario L7A 5M7",Brampton,For Lease,2699,3,2,Stacked Townhouse,https://www.qterrapropertymanagement.com/properties/22-westway-rd%2C-brampton%2C-ontario-l7a-5m7
"5-44 Division St, Welland, Ontario L3B 3Z6",Welland,For Lease,1099,0,2,,https://www.qterrapropertymanagement.com/properties/5-44-division-st%2C-welland%2C-ontario-l3b-3z6
"1-12 Glebemount Ave, Toronto, Ontario M4C 3R3",Toronto,For Lease,2695,3,1,,https://www.qterrapropertymanagement.com/properties/1-12-glebemount-ave%2C-toronto%2C-ontario-m4c-3r3
"4-359 Elgin Ct, Oshawa, Ontario L1J 2P4",Oshawa,For Lease,2095,1,3,Condo,https://www.qterrapropertymanagement.com/properties/4-359-elgin-ct%2C-oshawa%2C-ontario-l1j-2p4
